student_id,cgpa_cumulative,backlogs_count,backlogs_age_max_weeks,branch,entrance_percentile,admission_category,social_category,home_state,schooling_medium,hosteller_flag,mean_attendance_pct,min_attendance_pct,attendance_debarment_threshold,attendance_condonation_band_low,attendance_condonation_band_high,consecutive_absence_streak_max,attendance_trend,timing_of_decline,classes_total_in_sem,classes_conducted_so_far,classes_remaining_in_sem,max_possible_attendance_pct,attendance_debarment_mathematically_certain,avg_pace_score,avg_clarity_score,avg_doubt_resolution_score,avg_teaching_style_fit_score,diagnostic_content_score,diagnostic_delivery_sensitive_score,avg_session_engagement_exposure,vtop_login_freq_per_week,submission_timing_relative,footfall_library_freq_per_week,hostel_curfew_violations,fee_payment_status,scholarship_category,education_loan_status,family_income_bracket,first_gen_college_goer,latent_risk_score,true_dominant_cluster,risk_level,risk_level_label,mentor_flag_category
S00000,6.94,2,14,SCE-CIVIL,79.6,Management Quota,General,West Bengal,CBSE,Hosteller,85.3,71.5,65.0,65.0,75.0,1,stable,none,50,15,35,96.0,0,0.3,2.54,,3.35,0.666,0.575,0.7,8.54,-0.53,2.3,1.0,On Installment (On-Time),No Scholarship,Active Loan (Repayment Stress Flagged),<2.5 LPA,Yes,0.1405,financial,0,No Risk,none
S00001,8.42,0,0,SENSE-ECE,91.9,Management Quota,General,Karnataka,ICSE,DayScholar,86.5,77.4,65.0,65.0,75.0,4,stable,none,50,17,33,96.0,0,0.7,3.72,3.37,3.69,0.937,0.828,0.527,8.59,-0.74,2.45,,Fully Paid,No Scholarship,Active Loan (No Stress Flagged),2.5-8 LPA,No,0.1163,financial,0,No Risk,none
S00002,8.77,0,0,SENSE-ECE,85.7,Government Quota,General,Maharashtra,ICSE,Hosteller,69.0,61.6,65.0,65.0,75.0,11,stable,none,50,29,21,82.0,0,0.13,4.13,3.8,2.74,0.823,0.841,0.246,11.46,-0.57,3.02,2.0,Fully Paid,No Scholarship,No Loan,<2.5 LPA,Yes,0.0411,visual_engagement,0,No Risk,none
S00003,7.14,0,0,SCE-CIVIL,81.0,Management Quota,OBC,Other,CBSE,Hosteller,68.6,51.4,65.0,65.0,75.0,4,declining,late,50,30,20,82.0,0,-0.48,2.05,2.72,3.63,0.717,0.83,0.357,6.93,0.08,3.44,2.0,Fully Paid,No Scholarship,Active Loan (Repayment Stress Flagged),2.5-8 LPA,Yes,0.1672,financial,0,No Risk,none
S00004,6.12,2,9,SENSE-ECE,71.7,Government Quota,EWS,Kerala,CBSE,Hosteller,66.2,62.5,65.0,65.0,75.0,5,declining,late,50,40,10,72.0,0,0.13,3.34,1.46,2.91,0.604,0.798,0.378,11.95,-0.6,0.63,0.0,On Installment (On-Time),Merit-Based,Active Loan (No Stress Flagged),<2.5 LPA,No,0.1614,financial,0,No Risk,none
S00005,7.33,1,1,SENSE-ECE,72.7,Management Quota,EWS,Maharashtra,CBSE,DayScholar,76.6,68.4,65.0,65.0,75.0,7,stable,none,50,33,17,84.0,0,0.89,3.93,3.5,2.18,0.527,0.739,0.673,8.96,-0.48,5.92,,Fully Paid,Sports-Cultural Quota,Active Loan (No Stress Flagged),>8 LPA,No,0.0989,financial,0,No Risk,none
S00006,8.93,0,0,SCOPE-CSE,80.1,Government Quota,OBC,Uttar Pradesh,CBSE,Hosteller,69.5,55.6,65.0,65.0,75.0,6,stable,none,50,11,39,94.0,0,-0.39,3.17,3.89,4.74,0.87,0.809,0.368,10.73,0.08,0.83,3.0,Fully Paid,Institutional Need-Based,Active Loan (No Stress Flagged),<2.5 LPA,Yes,0.0698,financial,0,No Risk,none
S00007,5.19,5,2,SCOPE-CSE,65.2,Management Quota,OBC,Uttar Pradesh,State Board,Hosteller,56.8,43.1,65.0,65.0,75.0,4,declining,early,50,11,39,90.0,0,1.0,2.51,4.16,3.83,0.463,0.425,0.103,6.79,0.03,3.46,1.0,Fully Paid,Merit-Based,No Loan,>8 LPA,No,0.2082,visual_engagement,1,Backlog / Academic-Probation Risk,pedagogical
S00008,9.09,0,0,SMEC-MECH,73.5,Government Quota,General,Tamil Nadu,CBSE,Hosteller,94.3,93.9,65.0,65.0,75.0,8,declining,early,50,41,9,96.0,0,0.36,2.39,,3.66,0.917,0.857,0.631,9.24,0.05,5.94,1.0,Fully Paid,Merit-Based,No Loan,2.5-8 LPA,Yes,0.0,pedagogy,0,No Risk,none
S00009,8.01,0,0,SCOPE-CSE,88.0,Government Quota,EWS,Uttar Pradesh,ICSE,Hosteller,94.1,89.3,65.0,65.0,75.0,8,stable,none,50,39,11,96.0,0,-0.24,3.57,4.39,2.22,0.919,0.928,0.782,12.25,1.72,4.46,1.0,Fully Paid,Institutional Need-Based,Active Loan (No Stress Flagged),2.5-8 LPA,No,0.0955,financial,0,No Risk,none
